A_T,A_Ax,A_Ay,A_Az,A_Gx,A_Gy,A_Gz,B_T,B_Ax,B_Ay,B_Az,B_Gx,B_Gy,B_Gz,angle
50.9,-0.318847656,-0.395996094,-0.71484375,-1.768292665,-71.28048706,18.84146309,50.9,-0.831054688,0.367675781,-0.479003906,1.280487776,-12.5,-4.695121765,120
50.95,-0.431152344,-0.380371094,-0.6796875,-3.902439117,-46.95121765,14.26829243,50.95,-0.805175781,0.380371094,-0.397949219,-1.951219559,-16.64634132,-3.170731783,120
51,-0.380371094,-0.400878906,-0.6640625,-16.8292675,-29.26829338,11.58536625,51,-0.784179688,0.415527344,-0.421875,-0.243902445,-3.963414669,-2.865853548,120
51.05,-0.393554688,-0.358398438,-0.674316406,7.01219511,-22.5,15.54878044,51.05,-0.722167969,0.360839844,-0.368164063,1.951219559,-2.621951103,-9.329268456,120
51.1,-0.397949219,-0.375,-0.700683594,8.719511986,-7.439024448,7.378048897,51.1,-0.791015625,0.395019531,-0.348144531,-7.5,9.878048897,11.70731735,120
51.15,-0.370117188,-0.439453125,-0.791015625,-6.646341324,-0.426829278,9.085366249,51.15,-0.79296875,0.483398438,-0.374511719,-4.207316875,13.65853691,7.256097794,120
51.2,-0.393554688,-0.428222656,-0.829589844,24.63414574,14.81707287,5.914634228,51.2,-0.879882813,0.463378906,-0.341796875,6.951219559,1.158536553,14.08536625,120
51.25,-0.3828125,-0.458007813,-0.902832031,-25.48780441,15.85365868,7.01219511,51.25,-0.869628906,0.507324219,-0.361816406,10.54878044,3.658536673,9.146341324,120
51.3,-0.40625,-0.385253906,-0.897460938,37.01219559,12.13414669,13.04878044,51.3,-0.801757813,0.437011719,-0.37109375,7.621951103,4.939024448,4.268292904,120
51.35,-0.417480469,-0.426269531,-0.872558594,-8.963414192,-1.707317114,8.048780441,51.35,-0.796386719,0.457519531,-0.368652344,21.15853691,12.56097603,17.01219559,120
51.4,-0.431152344,-0.341308594,-0.791015625,45.73170853,-9.573170662,16.03658485,51.4,-0.72265625,0.356445313,-0.419433594,14.32926846,13.59756088,8.597560883,120
51.45,-0.410644531,-0.377441406,-0.751953125,3.231707335,-6.219511986,6.951219559,51.45,-0.778808594,0.392578125,-0.385742188,12.68292713,32.43902588,21.70731735,120
51.5,-0.427246094,-0.415039063,-0.859375,23.1707325,4.024390221,26.76829338,51.5,-0.836914063,0.407226563,-0.423339844,12.5,33.4146347,9.39024353,120
51.55,-0.457519531,-0.337890625,-0.835449219,-2.195122004,10.60975647,22.56097603,51.55,-0.837890625,0.377929688,-0.385253906,19.81707382,37.31707382,-6.158536434,120
